English phrase,Cree word-form,Cree lemma
I love you,kisâkihitin,sâkihêw
I work together with you,kiwîtatoskêmitin,atoskêmêw
I see you,kiwâpamitin,wâpamêw
you see me,kiwâpamin,wâpamêw
I see him,niwâpamâw,wâpamêw
you all saw us,kikî-wâpaminân,wâpamêw
they are going to see me,wî-wâpamêwak,wâpamêw
you and we will see them,kika-wâpamânawak,wâpamêw
when I see you all,wâpamitako,wâpamêw
,,
she sees it,wâpahtam,wâpahtam
we see it,niwâpahtênân,wâpahtam
you all are going to eat it,kiwî-mîcinâwâw,mîciw
you and we will eat it,kika-mîcinaw,mîciw
she sees,wâpiw,wâpiw
he eats,mîcisow,mîcisow
she ate,kî-mîcisow,mîcisow
when he speaks,pîkiskwêci,pîkiskwêw
when he says so,itwêci,itwêw
it snows,mispon,mispon
it is going to snow,wî-mispon,mispon
it will rain,ka-kimiwan,kimiwan
when it rains,kimiwahki,kimiwan
it drizzled,kî-kimiwasin,kimiwasin
there is room,tawâw,tawâw
there will be room,ka-tawâw,tawâw
there was room,kî-tawâw,tawâw